Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
ACOT8,11.81,18.52,5.03,7.43,4.66,4.62,7.51,6.27,16.6,12.06,11.94,9.11,13.6,19.78,8.93,14.89,16.4,17.18,11.53,25.88
ACOT9,8.4,7.8,6.29,11.51,15.63,16.7,22.03,22.76,9.95,8.48,4.82,11.43,3.49,7.61,3.87,6.38,10.26,14.26,8.54,23.71
ACOX1,36.39,20.4,38.85,27,30.45,26.27,17.5,26.64,40.24,37.39,32.95,28.85,26.56,41.67,43.52,33.17,27.83,43.94,38.89,17.51
ACOX2,68.96,97.17,55.78,41.48,38.07,41.1,30.51,30.25,64.91,52.2,97.57,43.28,39.93,78.32,75.05,109.28,77.34,63.5,62.17,28.28
ACOX3,5.41,7.68,4,4.7,4.91,8.82,4.66,3.34,6.07,5,5.58,6.95,4.25,2.96,6.57,2.25,6.48,10.5,8.34,8.6
ACOXL,0.02,0,0.02,0,0.07,0.02,0.21,0.11,0,0,0,0,0.08,0.02,0,0,0.13,0,0,0.09
ACP1,40.38,53.52,54.74,89.25,84.73,95.48,63.13,60.1,39.41,45.58,44.71,55.6,32.76,81.63,62.99,72.25,46,40.55,51.77,58.98
ACP2,25.87,39.51,26.18,22.16,21.95,26.03,17.85,20.88,27.2,29.26,32.17,29.18,32.68,34.73,38.91,43.07,42.63,26.98,38.27,27.96
ACP5,48.13,4.86,11.65,2.05,22.48,31.11,31.26,43.92,26.9,62.12,7.08,8.2,7.87,21.03,22.99,51.23,47.48,6.16,16.7,30.75
ACP6,5.11,13.1,5.64,15.11,6.36,11.28,5.19,6.24,4.17,7.05,5.69,5.21,8.09,7.7,5.47,22.27,6.48,10.87,6.57,10.73
ACPL2,0.81,0.56,0.72,6.39,2.88,3.33,3.01,2.64,0.82,1.46,0.83,0.69,0.45,5.66,0.82,1.85,1.59,3.09,1.5,4.48
ACPP,0.05,0.03,0.03,0.05,0.22,0,0.22,0.18,0.06,0.05,0.03,0.09,0,0.04,0.35,0.07,0.44,0.01,0.04,0.18
ACPT,0,0,0,0,0,0.07,0,0,0,0.02,0,0,0.05,0.03,0,0,0,0,0,0.13
ACR,0.48,0.25,0.03,0.28,0.16,0.07,0.04,0.26,0.1,0.27,0.39,0.23,0.28,0.18,0.18,0.06,0.28,0.97,0.4,0.33
ACRBP,1,1.07,0.26,0.29,0.49,0.3,1.29,0.51,0.45,0.94,0.21,0.74,0.36,0.57,0.12,0.78,0.81,0.31,0.34,0.75
ACRC,0.16,0.18,0.19,0.34,0.26,0.21,0.84,0.2,0.15,0.08,0.17,0.18,0.19,0.19,0.02,0.09,0.19,0.38,0.33,0.46
ACRV1,0.04,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0
ACSBG1,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.12,0,0.05,0,0,0,0
ACSBG2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.23,0,0,0,0,0,0
ACSF2,19.75,10.89,13.04,8.74,22.15,7.95,14.4,13.89,24.8,29.68,23.3,25.03,19.59,26.15,26.31,52.39,26.35,29.96,25.52,22.31
ACSF3,5.57,4.21,2.61,5.98,3.87,2.85,5.44,3.79,7.94,6.08,5.21,5.96,6.17,3.28,4.66,3.21,6.65,5.13,5.27,7.3
ACSL1,353.09,180.04,395.83,143.7,213.26,244.79,105.48,43.76,232.65,461.98,314.79,189.75,180.16,77.65,181.53,139.34,161.69,97.63,335.24,74.19
ACSL3,17.6,16.18,11.68,15.91,17.18,42.82,16.67,32.79,8.83,14.27,5.72,13.93,5.01,44.51,11.5,24.59,9.16,23.78,8.75,16.44
ACSL4,15.62,14.26,54.22,67.98,24.56,225.07,37.61,22.84,3.11,14.53,1.07,13.62,1.09,74.56,11.21,158.99,5.69,22.92,21.3,30.44
ACSL5,27.66,40.96,56.34,496.64,53.73,47.83,30.94,60.52,47.93,15.64,35.83,23.3,67.03,50.61,56.53,31.07,47.54,112.1,45.59,60.2
ACSL6,0.42,2.02,0.25,7.75,1.59,1.73,2.48,3.32,0.64,3.44,0.21,0.15,0.34,0.5,0.64,2.91,0.76,12.51,0.82,2.61
ACSM1,1.24,22.33,10,26,3.73,16.11,0.44,0.08,10.94,98.95,0.11,5.64,1.48,1.44,11.01,13.57,5.1,35.22,0.58,1.9
ACSM2A,83.13,205.1,130.51,185.22,78.81,110.69,34.94,81.18,112.58,193.09,153.71,137.25,101.67,94.96,241.54,71.35,123.6,132.19,123.46,45.57
ACSM2B,121.05,275.49,133.54,389.38,99.65,163.17,48.69,115.14,156.26,250.72,248.34,213.67,155.99,196.47,173.01,212.54,122.68,327.52,217.57,116.08
ACSM3,26.39,20.11,54.84,73,25.36,8.93,14.99,14.27,19.14,27.14,78.48,35.18,50.53,67.33,47.97,61.57,28.85,21.89,46.49,14.12
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,66.81,92.88,6.82,15.58,45.45,17.2,25.09,13.99,81.04,57.67,84.21,63.16,52.97,20.89,73.08,61.76,34.65,45.52,60.77,25.6
ACSS1,0.97,0.46,1.1,0.39,6.81,1.56,9.25,1.77,1.15,3.71,0.96,1.6,0.74,4.43,0.65,3.34,6.09,1.12,2.7,6.6
ACSS2,59.41,34.05,12.36,44.46,20.75,17.22,29.2,20.68,16.8,25.3,27.25,27.31,15.79,99.78,18.71,88.91,20.69,22.59,22.17,22.92
ACSS3,26.49,8.64,9.14,88.84,17.18,12.78,16.74,47.94,18.81,13.77,5.86,17.32,5.81,37.39,15.36,34.17,10.35,45.88,16.09,14.65
ACTA1,0.06,0.1,0,0,0,0,0.08,0.51,0.02,0,0,0.03,0,0,0,0,0.04,0.03,0.06,0
ACTA2,43.83,34.59,37.35,50.33,168.77,33.41,439.13,76.87,24.94,45.77,32.93,255.65,9.86,19.71,18.95,24.47,195.41,41.17,25.74,321.08
ACTB,820.63,876.05,786.99,572.16,1299.86,908.77,2262.48,1233.91,930.81,798.73,821.22,1255.14,523.1,624.76,896.58,529.29,1201.39,718.97,653.38,1652.73
ACTBL2,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.08
ACTC1,0.01,0.05,0.08,0,0.11,0.03,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.04
ACTG1,367.51,513.46,296.77,143.78,483.25,297.92,854.37,393.65,720.76,291.46,403.58,506.04,395.02,954.52,422.38,276.07,754.85,385.58,334.87,639.66
ACTG2,0.53,2.32,1.24,5.62,2.35,0.69,2.72,5.02,0.1,2.84,1,2.43,0.11,2.47,0,0.42,1.29,2.43,0.16,3.03
ACTL6A,8.32,12.61,8.26,24.82,22.57,16.76,20.57,22.84,6.6,6.47,4.77,13.19,5.97,47.03,6.02,27.21,12.54,24.34,7.37,22.25
ACTL6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTL8,0,0,0,0,0,0,0,0.35,0,0.02,0,0,0,0.09,0,0,0,0.2,0,0.09
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,26.05,11.13,12.27,14.96,20.89,14.12,30.76,22.1,23.18,25.23,9.42,25.59,13.64,41.09,15.11,18.1,21.9,14.73,16.75,32.35
ACTN2,0.07,0.05,0,11.39,0.09,0.85,0.15,0.49,0.03,0.01,0.01,0.12,0,0.03,0,0.02,0.21,3.1,0.02,2.6
ACTN3,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.02
ACTN4,46.43,64.36,7.67,16.43,19.99,13.09,45.52,19.21,42.95,50.81,19.59,43.08,20.59,124.83,19.56,21.33,53.4,80.32,33.82,80.54
ACTR10,12.46,13.97,15.52,23.46,27.27,24.13,29.65,20.04,12.23,12.7,9.92,15.89,8.43,21.45,11.48,13.27,14.37,13.15,11.36,17.44
ACTR1A,14.97,25.63,10.37,19.09,21.02,21.45,28.65,27.12,18.96,21.13,16.3,27.31,14.21,17.31,13.39,26.46,22.79,20.8,17.67,38.18
ACTR1B,11.23,22.49,7.34,9.7,10.86,9.98,22.4,12.56,22.31,21.21,14.57,21.24,19.42,32.02,10.68,16.56,23.58,18.38,20.52,33.78
ACTR2,36.53,34.76,27.99,36.18,61.93,66.77,81.39,63.97,29.29,43.06,11.35,28.13,7,48.97,18.56,34.36,31.58,56.84,21.54,30.61
ACTR3,31.66,33.54,27.67,33.61,57.43,57.86,87.82,72.32,22.92,27.03,15.14,33.93,8.02,38.3,22.58,37.82,34.55,48.11,15.65,39.66
ACTR3B,2.05,6.93,2.42,4.18,2.48,2.01,1.53,3.38,1.92,3.89,1.93,2.96,1.54,3.69,1.69,3.28,1.74,2.44,1.92,3.26
ACTR3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR3C,6.9,8.57,7.87,4.5,4.22,3.56,4.98,3.27,7.25,10.03,9.37,10.41,7.72,3.96,6.28,6.15,4.61,3.17,7.68,5.16
ACTR5,2.14,4,1.06,9.5,2.13,1.37,2.65,1.86,1.58,1.24,1.27,2.3,1.37,3.11,0.92,4.08,2.39,7.24,1.8,3.41
ACTR6,8.38,7.26,11.07,13.68,15.84,10.76,20.4,17.7,7.44,6.93,5.45,7.79,2.85,13.75,5.35,12.74,9.79,19.39,5.84,12.53
ACTR8,2.24,2.54,1.78,3.04,4.47,2.81,4.72,6.04,1.78,1.83,1.34,2.72,1.51,5.34,1.95,4.98,2.81,4.23,2.15,4.44
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR1,12.47,6.81,9.4,7.04,15.15,10.43,14.9,15.94,7.65,8.6,6.82,9.94,2.23,10.42,5.99,10.24,8.39,12.89,5.84,11.3
ACVR1B,6.1,8.03,6.11,7.07,8.28,10.27,5.53,2.51,7.88,14.57,4.6,8.88,4.99,11.87,6.81,17.05,6.62,5.74,9.49,8.36
ACVR1C,0.41,0.36,0.42,0.21,0.43,0.5,0.24,0.33,0.22,0.17,0.47,0.23,0.11,0.19,0.3,0.74,0.28,0.48,0.32,0.07
ACVR2A,1.82,1.78,2.34,3.24,4.07,2.81,4.22,2.22,1.48,1.35,1.4,1.29,0.72,1.71,1.43,1.04,3.03,1.85,1.91,3.28
ACVR2B,0.43,1.5,0.51,0.54,0.62,0.42,0.48,0.41,0.22,0.36,0.34,0.32,0.25,0.74,0.47,0.81,0.49,0.37,0.47,0.71
ACVRL1,1.19,2.1,0.79,1.36,2.69,0.8,5.23,2.96,1.68,2.75,0.41,3.92,0.45,1.02,0.32,1.08,5.19,2.46,1.67,8.18
ACY1,119.6,134.26,63.6,48.4,44.98,53.11,37.67,61.44,191.73,191.36,170.55,106.13,177.63,157.78,104.05,106.63,176.26,71.05,162.06,89.71
ACY3,18.79,11.9,2.91,3.26,3.7,1.69,6.18,5.4,16.57,10.13,12.65,6.33,9.57,4.51,10.31,7.13,12.8,5.14,11.53,13.56
ACYP1,2.65,2.55,3.13,3.46,6.26,1.89,12.76,12,2.39,2.15,1.23,3.78,1.98,4.27,3.41,5.34,4.53,3.24,2.41,4.94
ACYP2,9.04,10.6,13.05,16.96,13.12,15,12.17,11.39,8.73,8.59,10.35,9.14,7.05,5.59,9.45,3.97,12.29,11.13,10.24,8.35
ADA,2.22,2.77,1.08,0.67,4.32,2.68,9.25,5.37,2.99,4.32,2.04,4.81,1.02,6,1.85,9.16,4.8,4.41,1.29,6.84
ADAD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAD2,0.16,0.02,0,0.02,0,0,0.03,0,0.02,0.01,0,0,0,0,0,0,0.1,0,0.04,0.08
ADAL,1.93,3.76,2.8,3.09,3.36,2.62,3.58,3.05,1.81,3.27,2,3.45,1.6,5.74,3.31,6.68,2.74,3.34,2.4,2.63
ADAM1,0.4,0.94,0.38,0.11,0.42,0.22,0.65,0.19,0.15,0.12,0.43,0.42,0.13,0.5,0.08,0.42,0.32,0.35,0.69,0.89
ADAM10,9.5,8.51,4.29,8.85,13.16,14.06,16.61,16.33,9.52,12.32,2.36,8.96,1.76,25.46,7.3,14.52,10.03,25.17,5.54,8.93
ADAM11,0.1,0.03,0.01,0.01,0.05,0.01,0.1,0.06,0.05,0.04,0,0,0.05,0.19,0,0.02,0.15,0.15,0.06,0.18
ADAM12,0.06,0,0.02,0.01,0.03,0.11,0.23,0.24,0.03,0.01,0,0.11,0.01,0.03,0,0.75,0.06,0.03,0.04,0.16
ADAM15,6.57,15.18,1.78,5.56,4.77,11.09,13.98,8.64,10.5,15.7,4.23,12.12,5.2,23.06,3.27,18.35,16,19.45,10.51,32.31
ADAM17,2.78,3.54,1.43,3.72,3.45,2.45,5.08,4.15,2.09,2.75,0.99,3.69,0.66,4.22,0.98,3.59,2.71,3.58,1.47,2.5
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
ADAM19,2.65,1.98,0.53,0.77,1.29,1.1,4.39,1.19,1.11,1.23,0.92,2.21,1.23,1.3,2.06,1.91,2.55,0.99,0.77,1.89
ADAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20,0,0,0.02,0,0.01,0,0,0.03,0.03,0,0.02,0,0.02,0,0,0,0,0.02,0,0.02
ADAM21,0.01,0,0,0.05,0.03,0.06,0.08,0.05,0.08,0.03,0,0.02,0.09,0.18,0,0.07,0,0.15,0.01,0.12
ADAM21P1,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0.08,0,0.04,0,0.02,0,0.03
ADAM22,0.04,0.05,0.06,0.02,0.07,0.01,0.22,0.18,0.02,0.07,0.01,0.02,0.06,0.99,0.01,0.19,0.21,1.22,0.04,0.09
ADAM23,0.13,0.03,0.03,0,0.37,0.41,0.84,0.31,0.07,0.11,0,0.2,0,0.05,0.22,3.17,0.33,0.03,0.05,1.13
ADAM28,0.43,0.2,0.85,0.01,3.24,0.16,5.63,1.09,0.3,0.52,0.14,1.26,0.04,0.16,0.33,0.5,2.89,0.12,0.58,1.66
ADAM29,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0
ADAM30,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02
ADAM32,0.03,0.02,0,0,0.04,0,0.18,0,0.02,0.01,0,0,0,0.04,0,0.03,0.11,0.02,0.04,0.19
ADAM33,0.29,0.1,0.05,0.03,0.69,0.23,1.33,0.02,0.16,0.22,0.05,1.2,0,0,0.27,0,0.77,0.04,0.26,2.62
ADAM3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0.22,0,0,0,0,0,0.02,0,0,0,0.02,0,0.09,0,0,0,0
ADAM7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0
ADAM8,2.57,0.6,0.29,0.11,0.43,0.08,3.56,1.06,0.88,1.08,1.32,1.53,1.01,0.48,0.39,0.34,4.3,0.53,0.78,2.63
ADAM9,7.63,6.41,3.8,4.64,20.12,17.11,23.68,16.4,6.36,8.43,1.63,5.72,0.92,27.71,1.79,9.68,4.95,15.74,3.6,23.92
ADAMDEC1,0.19,0.04,0.02,0,0.66,0.25,8.85,13.19,0.18,0.24,0.03,0.83,0.05,0.4,0.54,1.87,1.5,0.3,0,0.65
ADAMTS1,19.85,11.46,3.61,2.21,23.18,2.94,106.79,7.22,9.79,8.56,12.1,88.59,2.15,1.48,7.73,3.23,74.6,2.64,3.55,17.92
ADAMTS10,2.99,0.8,0.13,0.01,0.33,0.2,2.12,0.03,1.51,1.47,0.53,1.49,0.58,0.47,0.71,1.08,1.52,0.12,2.11,5.82
ADAMTS12,0.28,0.06,0.01,0.02,0.42,0.11,1.2,0.2,0.42,0.43,0.02,0.29,0.06,0.39,0.05,0.05,0.57,0.17,0.13,0.46
ADAMTS13,10.33,1.08,1.5,0.15,2.25,0.11,5.06,0.17,3.54,0.55,3.86,1.05,5.06,0.45,2.6,0.59,10.31,0.47,3.91,5.93
ADAMTS14,0.03,0.02,0.02,0.01,0.04,0.03,0.05,0.08,0.05,0.1,0.02,0.05,0.03,0.04,0.02,0.04,0.1,0.06,0.04,0.36
ADAMTS15,0.28,0.16,0,0.04,1.1,0.07,0.75,0.08,0.19,0.22,0.06,0.33,0.07,0.08,0.17,0.03,0.46,0.07,0.18,1.4
ADAMTS16,0.05,0.01,0,0.01,0.06,0.93,0.21,0.08,0.02,0,0.02,4.11,0,0.01,0.13,0.1,0.06,0.01,0.33,0.21
ADAMTS17,0.45,2.54,0.24,0.01,0.12,1.76,0.6,0.08,0.67,3.02,0.65,0.43,0.49,0.38,0.32,0.46,0.21,0.06,0.94,0.47
ADAMTS18,0.01,0.02,0,0.01,0.13,0.16,0.23,0.17,0.03,0.02,0,0.28,0,0.01,0,0.01,0.04,0.08,0.01,0.11
ADAMTS19,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0
ADAMTS2,5.83,0.46,1.3,0.17,8.44,0.61,7.76,1.33,5.95,2.13,1.15,2.85,0.94,0.36,1.64,0.2,4.66,0.36,3.15,15.82
ADAMTS20,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0.13,0,0.04,0,0
ADAMTS3,0.11,0.01,0.05,0,0.31,0.11,0.74,0.05,0.05,0.04,0,0.09,0,0.01,0,0.1,0.16,0.03,0.03,0.21
ADAMTS4,14.47,9.95,0.29,0.31,2.49,0.41,18.03,3.66,6.88,15.47,3.39,11.26,0.74,0.36,2.02,1.12,8.64,2.32,0.44,1.69
ADAMTS5,0.48,0.05,0.16,0.07,0.72,0.16,2.35,0.76,0.33,0.54,0.11,0.8,0.02,0.26,0.04,0.32,0.97,0.5,0.08,0.38
ADAMTS6,0.12,0.03,0.01,0,0.09,0.1,0.28,0.19,0.1,0.03,0.07,0.11,0.02,0.07,0.04,0.57,0.11,0.02,0.17,0.27
ADAMTS7,0.75,0.8,0.01,0.1,0.13,0.02,0.26,0.18,0.7,0.63,0.07,0.21,0.01,0.18,0.01,0.05,0.47,0.56,0.21,0.89
ADAMTS8,0.04,0,0.03,0,0.09,0,0.29,0.01,0.01,0.01,0.03,0.1,0,0,0,0.02,0.1,0.01,0.01,0.17
ADAMTS9,1.74,1.24,0.29,1.38,2.34,0.76,3.11,3.22,1.07,1.6,0.48,2.18,0.09,0.62,0.23,0.61,1.06,1.23,0.36,1.65
ADAMTS9-AS2,0.18,0.08,0.12,0.1,0.33,0.04,1,0.02,0.06,0.05,0.08,0.24,0,0,0,0.07,0.51,0,0.09,0.43
ADAMTSL1,0.52,0.03,0.12,0.2,0.54,0.23,1.31,0.32,0.13,0.4,0.07,0.23,0.1,0.11,0.28,0.13,0.87,0.26,0.27,0.83
ADAMTSL2,13.85,9.17,0.99,0.07,6.59,0.43,27,0.08,13.24,1.22,3.08,5.41,3.73,0.36,1.92,1.84,29.83,0.24,8.53,35.49
ADAMTSL3,6.51,5.94,1.53,4.27,2.48,1.66,3.63,3.15,3.03,2.3,1.35,5.32,1.37,0.27,2.55,6.24,2.9,1.92,2.6,1.43
ADAMTSL4,11.89,43.91,1.71,2.55,3.8,6.65,2.63,0.63,17.49,12.23,3.76,6.31,5.06,0.79,5.47,6.01,8,5.04,11.69,8.83
ADAMTSL5,0.95,0.11,0.35,0.48,0.48,0.78,0.55,0.19,1.08,1.41,0.33,0.83,0.35,0.31,0,0.81,0.64,1.85,0.96,1.42
ADAP1,2.47,11.88,0.34,0.13,1.71,0.05,3.28,0.46,2.02,1,0.36,0.57,1.63,0.47,0.76,0.24,3.94,0.33,1,3.03
ADAP2,5.12,1.94,5.55,0.86,8.14,1.83,8.01,4.85,4.15,4.95,1.7,4.15,2.66,5.59,2.22,4.99,4.79,1.29,2.06,6.08
ADAR,15.44,49.97,15.17,51.66,30.69,49.46,30.04,43.84,19.52,25.42,14.87,21.69,8.07,25.42,18.07,75.21,31.41,35.23,19.39,35.31
ADARB1,1.44,3.53,0.87,0.72,2.89,1,4.83,1.45,1.42,2.18,1.15,2,0.81,1.2,0.72,0.94,3.29,1.74,1.34,4.77
ADARB2,0.03,0.01,0,0,0.04,0,0.08,0,0,0,0.03,0.01,0,0,0.08,0,0.09,0,0.1,0.09
ADAT1,1.61,3.96,2.61,3.89,2.59,2,3.97,3.73,2.63,4.27,1.37,3.18,1.59,2.75,1.79,3.86,2.22,6.21,2.23,3.65
ADAT2,0.72,0.42,0.21,0.7,0.68,0.4,1.06,0.42,0.24,0.32,0.31,0.46,0.23,1.62,0.59,0.69,0.46,0.53,0.39,1.1
ADAT3,0.4,0.54,0,0,0,0,0.04,0.03,1.62,0.93,0.07,0.06,0.36,0.08,0.08,0.03,0.44,0.41,0.21,0.46
ADC,0.18,0.54,0.16,0.29,0.21,0.29,1.59,0.47,0.29,0.46,0.31,0.7,0.44,0.07,0,0.61,1.33,0.9,0.36,1.06
ADCK1,2.32,4.3,0.83,1.83,1.37,1.05,1.83,2.31,1.99,2.96,1.91,2.46,1.35,2.4,0.89,1.5,1.78,2.22,1.85,3.55
ADCK2,5.33,11.91,3.03,5.9,3.83,4.31,7.74,4.79,5.66,10.82,5,7.77,6.7,15.01,3.74,11.14,7.23,10.57,5.36,11.61
ADCK3,25.02,70.32,11.2,46.17,17.33,23,14.94,41.88,17.79,21.6,25.09,24.68,21.18,34.01,16.12,23.13,34.38,91.99,22,48.57
ADCK4,5.17,5.81,1.92,1.49,1.79,1.84,4.27,2.24,6.66,7.84,5.49,5.61,6.87,10.38,4.76,4.26,9.28,9.45,6.46,9.93
ADCK5,3.72,5.99,0.34,1.06,0.19,0.22,2.07,0.62,2.93,5.97,1.49,1.42,2.67,3.85,0.69,1.35,3.78,4.61,2.14,7.6
ADCY1,3.54,13.86,0.84,0.08,0.24,0.06,0.67,0.04,1.48,7.71,1.27,0.18,1.49,0.03,1.3,0.15,0.73,0.15,1.82,1.18
ADCY10,0.59,1.71,0.46,1.74,0.26,0.78,0.2,0.58,0.68,0.33,0.66,0.37,0.31,0.3,0.73,2.17,0.51,0.21,0.67,0.49
ADCY2,0,0,0,0,0,0.01,0.02,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0
ADCY3,3.22,0.66,0.58,0.33,2.94,0.51,6.18,1.3,1.4,1.87,0.55,2.11,0.49,4.22,0.51,0.56,3.84,0.9,1.57,7.55
ADCY4,0.97,2.44,0.35,0.61,0.56,0.32,2.58,0.71,0.74,1.21,0.51,1.58,0.31,0.46,0.28,0.34,2.48,1.14,1.73,5.33
ADCY5,1.3,0.03,0.33,0.04,1.17,0.25,3.33,0.03,0.5,0.4,0.49,0.89,0.51,0.13,0.75,0.05,2.83,0.05,0.76,2.64
ADCY6,1.8,6.85,0.84,3.33,2.39,2.56,4,3.37,2.48,3.88,2.23,4.5,2.35,5.28,1.67,3.41,4.86,4.47,3.34,7.7
ADCY7,1.56,0.95,1.09,0.41,2.86,0.68,8.04,1.23,1.04,1.31,0.57,1.93,0.17,0.97,0.75,0.79,3.31,0.86,0.78,3.84
ADCY8,0.06,0,0.02,0,0.73,0.01,0.29,1.08,0.05,0.01,0.03,0,0,0.02,0.11,0,0.07,0.01,0.36,0.97
ADCY9,4.27,7.41,1.39,2.53,3.57,4.06,3.35,2.31,7.18,10.02,1.57,3.34,1.84,8.1,2.62,3.22,3.12,5.86,4.08,4.73
ADCYAP1,0.05,0.01,0,0.01,0.1,0,0.4,0.03,0.02,0.02,0.05,0.42,0,0,0,0.01,0.35,0,0.04,0.61
ADCYAP1R1,0.23,0.01,0.06,0.03,0.09,0.01,0.07,0.01,0,0.06,0.04,0.03,0,0,0.1,0.05,0.24,0.01,0.05,0.12
ADD1,21.71,24.05,10.41,22.11,26.32,37.02,48.08,27.53,23.62,24,13.23,17.64,10.44,20.03,10.92,39.45,32.92,39.88,26.45,52.4
ADD2,0.1,0.03,0.16,0.03,0.06,0.05,0.33,0.24,0.02,0.05,0.08,0.08,0,0.04,0.19,0.12,0.13,0.03,0.08,0.1
ADD3,5.63,2.18,10.12,21.6,26.11,5.64,36.84,14.04,6.36,3.46,2.69,7.34,1.45,12.69,3.91,7.05,12.73,1.72,5.77,12.59
ADH1A,458.34,7.72,920.44,978.53,762.36,565.14,429.42,1297.6,489.14,145.52,1204.58,434.29,514.42,579.13,1172.53,509.99,1097.31,755.79,1462.75,297.89
ADH1B,1570.01,2129.5,1650.18,2944.17,967.23,962.69,808.21,2754.01,1198.84,919.17,1817.5,699.56,904.2,612.95,2063.43,599.35,1583.19,2554.29,2025.21,678.67
ADH1C,348.74,564.07,584.81,6.2,523.53,234.75,107.11,27.17,483.8,498.32,816.16,453.88,448.56,12.81,1187.1,413.6,670.17,484.77,737.1,123.99
ADH4,627.06,1183.04,936.17,293.05,683.77,205.67,297.78,311.22,824.52,314.92,1617.42,210.75,727.14,157.95,1597.34,265.46,948.59,558.99,1331.5,185.1
ADH5,81.74,89.34,108.06,204.39,119.09,86.11,96.77,211.97,82.6,86.96,111.5,112.71,71.59,89.56,95.29,133.2,116.54,193.18,79.89,105.24
ADH6,113.62,103.45,157.47,516.38,106.92,70.82,45.15,239.67,99.98,77.51,210.86,59.1,105.93,41.07,185.08,123.54,174.92,252.49,181.17,60.75
ADH7,0,0.24,0.17,0.26,0.14,0.04,0.05,0.06,0,0,0.08,0,0.06,0.09,0,0,0.12,0.13,0.17,0.13
ADHFE1,29.69,31.3,19.35,37.33,15.08,19.39,8.19,6.79,15.03,19.15,29.07,20.11,22.38,10.29,24.4,72.73,12.65,8.14,27.46,23.22
ADI1,344.77,372.66,387.2,306.08,141.21,105.06,144.83,197.27,286.96,299.87,422.35,231.9,382.5,329.11,475.76,199.88,192.16,281.65,274.06,207.28
ADIG,0.07,0,0,0.14,0.07,0.07,0,0.07,0,0,0,0,0,0.37,0,0,0,0.28,0.12,0.25
ADIPOQ,0.03,0.02,0,0,0.02,0.02,0.01,0,0.03,0.02,0.04,0.03,0.01,0,0,0.03,0.02,0.01,0.02,0.04
ADIPOR1,35.75,108.52,40.19,123.52,53.77,87.46,56.26,94.03,43.81,49.18,33.64,45.86,33.58,93.77,48.65,67.08,44.41,100.46,40.59,76.98
ADIPOR2,35.3,49.86,28.05,35.48,42.04,49.72,33.26,48.54,36.02,43.85,38.46,20.43,23.49,24.67,28.35,34.87,34.8,40.41,46.67,28.61
ADK,25.88,50.78,40.05,27.41,41.26,42.08,20.52,28.28,24.28,27.99,47.47,36.39,24.65,14.15,27.09,24.63,33.14,23.56,29.69,24.92
ADM,77.29,48.16,3.82,3.49,6.79,3.04,8.41,37.31,18.37,27.85,14.86,29.56,7.32,3.24,8.39,2.49,8.16,5.33,6.29,8.95
ADM2,0.63,4.62,0.21,0.34,0.39,1.69,0.64,0.35,0.31,0.06,0.36,1.78,0.56,1.1,0.13,4.21,0.43,1.62,0.45,1.1
