Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SMTN,6.07,6.92,0.58,0.97,1.3,0.25,5.09,1.07,2.99,3.04,2.02,3.78,1.84,2.44,0.92,0.9,5.19,3.4,2.6,8.06
SMTNL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
SMTNL2,0.04,0,0.09,0.05,0.11,0,0.2,0.04,0.05,0.03,0,0,0,0.02,0,0,0.19,0.09,0.08,0.42
SMU1,5.17,5.57,5.54,8.14,9.68,5.95,10.55,9.32,4.72,5.32,4.77,7.95,3.53,4.95,4.14,8.09,5.91,7.64,4.88,9.04
SMUG1,6.62,10.94,5.97,10.08,6.84,4.36,9.66,9.54,6.68,5.79,11.8,11.85,10.15,15.84,6.54,14.12,12.88,12.68,8.53,11.22
SMURF1,4.94,9.93,1.78,3.52,3.46,2.81,5,4.33,4.51,7.4,1.89,4.74,1.99,5.49,3.5,6.9,3.71,6.32,4.13,7.76
SMURF2,2.18,1.41,1.27,2.42,3.87,2.07,4.97,3.79,1.61,1.4,0.54,2.83,0.38,4.24,0.98,2.23,2.25,5.35,1.08,2.62
SMYD1,0.03,0.01,0,0,0.04,0,0,0,0.01,0.02,0,0,0,0.01,0,0,0.02,0.01,0,0
SMYD2,11.22,20.42,13.48,92.78,40.43,75.62,41.18,103.75,22.56,13.77,13.58,31.64,11.44,38.74,17.2,16.43,21.03,51.18,15.03,71.82
SMYD3,3.4,6.81,3.14,14.03,5.85,12.53,8.96,9,2.58,3.21,3.25,6.48,3.23,6.95,5.19,7.17,4.69,8.19,2.96,10.5
SMYD4,1.42,2.37,1.27,2.55,2.44,1.4,2.98,1.58,1.61,1,1.09,2,0.96,1.86,1.06,2.68,2.13,7.22,1.42,2.53
SMYD5,4.56,5.98,3.07,3.55,5.82,4.9,6.59,5.87,4.58,3.41,2.68,6.69,3.72,15.11,4.12,4.19,6.66,7.61,3.76,10.54
SNAI1,3.91,3.18,0.53,0.22,3.42,0.28,11.99,0.54,2.99,4.31,1.19,14.17,0.51,0.86,0.76,0.05,4.54,0.38,2.02,6.58
SNAI2,4.48,0.54,6.19,1.84,10.99,7.39,4.12,30.88,1.91,3.47,0.86,1.97,0.89,0.55,1.97,2.93,2.45,11.51,3.62,14.06
SNAI3,0.41,0.05,0.19,0,0.22,0.05,2.01,0.13,0.13,0.14,0.31,0.74,0.25,0.02,0.31,0.05,1.62,0.11,0.52,1.32
SNAP23,12.06,13.42,15.06,23.45,25.11,22.84,40.89,21.24,11.62,14.73,8.35,14.1,3.9,29.55,9.55,26.22,15.58,25.27,10.34,16.59
