Gene,UC4,UC5,CD5,CTR1,CD2,UC3,CD1,UC2,CTR2,UC1,CD6,CTR4,CD3,CTR3,CTR5
SEMA6B,14.85254665,13.16628624,7.102251133,2.853453093,7.581582038,7.6946072,6.674272348,12.82589762,2.97679581,10.53888814,7.654248038,4.813840091,10.65510907,10.48778178,11.80565743
SEMA6C,0.827862686,1.332054293,1.579154462,1.850979184,2.653707872,0.832576161,2.150807968,1.41164167,1.63809809,1.386841531,3.903548744,0.982212462,3.613366722,2.323097427,0.886749159
SEMA6D,3.72962512,2.654280118,5.27327333,7.22136253,9.741668089,5.68042532,4.755896823,1.707925308,6.627792994,3.457551334,7.426523716,8.157509425,6.823556918,13.08756912,4.47903774
SEMA7A,4.031125485,4.501477679,5.882039782,14.044285,5.190054595,5.962864758,4.112498297,8.603137139,5.449095426,3.093553452,6.648244711,1.952628264,7.509003737,4.985159399,10.60301806
SEMG1,0.072486798,0.373564601,0.058308841,0,0.023994232,0.308072483,0.08652656,0.638716449,0.02491252,0.145630821,0.072915344,0,0.030005606,0,0.396598149
SEMG2,0,0.024589209,0,0,0,0,0,0.099372819,0,0.074769891,0,0,0,0,0.063631792
SENP1,4.523533553,5.406256527,6.98175706,7.16469823,5.119047817,5.561803044,4.787897108,5.247900715,5.069889681,5.157374177,5.267562025,4.574756468,6.05102722,5.252341896,4.556745235
SENP2,11.43009664,12.57255951,12.87943469,12.75974674,12.67399638,12.78823957,14.42405157,15.52005803,12.72305286,14.51972985,13.63092856,12.75709094,12.7939851,11.00006463,9.412199221
SENP3,17.9099163,18.5250803,15.52371182,21.10162268,17.45902667,13.99835366,17.92684154,17.76876846,16.48389711,16.93475069,18.74304425,18.54152475,17.34405842,15.3248695,18.65983159
SENP5,9.53942102,10.77438103,11.71107348,12.95560623,11.13134562,10.79021084,13.09782017,12.16950879,11.81462538,12.91057133,13.96896345,10.56648985,12.53764925,11.13683358,10.81669593
SENP6,9.564962577,8.661648106,13.50269489,11.58955934,11.08316364,9.283170179,13.54204876,10.19072295,10.78972322,14.27465429,11.67183332,10.82661947,11.64352928,10.14867057,7.573518697
SENP7,2.757922886,3.337870981,5.590302712,4.855303996,4.993823131,2.985017271,6.787679359,4.579372909,3.81024239,6.927898969,7.192782957,3.325893098,5.700592623,3.911031743,2.879240105
SENP8,0.502954719,0.441714313,0.52284181,0.5343511,0.484089065,0.762354592,0.563424712,0.399789835,0.75791261,0.401078721,0.700515998,0.73443379,0.566933717,0.567035053,0.309580202
SEPHS1,11.15736283,12.65492947,11.26036812,12.35070946,11.82070122,13.38492173,11.45492089,13.9442194,12.90035868,10.7789978,12.69552142,10.88302413,11.31828271,9.995857045,9.220407049
SEPHS2,37.56281685,34.66026309,37.18432401,64.47617145,63.31750187,51.37830854,34.28929936,33.25899615,66.38772187,32.14755467,38.58266915,62.77636946,42.33937789,67.68223515,39.80421643
SEPSECS,1.958134718,2.672963421,3.707513533,4.691276568,4.928555845,3.518721794,4.07942503,3.225891063,4.221988921,3.340208646,3.577070122,4.175620584,4.351033807,4.436239436,2.154085153
1-Sep,8.163464249,18.78474038,18.22131529,43.68628608,12.07966044,18.84419887,11.98064073,21.36849277,13.32881666,14.13361912,20.48279261,7.926432399,23.31957133,11.00457932,11.6723401
10-Sep,12.1236905,11.57339168,9.477059285,9.039179472,10.74293699,10.87074295,12.98932492,11.43856097,12.68931441,13.99339902,9.487256929,13.38122823,11.15590555,11.61880427,13.40743513
11-Sep,29.55059815,23.34463768,28.71814256,17.48163697,27.18840409,27.84885053,29.20389604,24.78360403,24.75385304,24.19113088,22.65211362,30.40108286,22.96144028,20.3923874,22.91287516
