source,target
CASP2,PARP1
CASP3,PARP1
CAT,PARP1
CD40,PARP1
CDA,PARP1
CDKN1A,PARP1
CHD4,PARP1
COL11A2,PARP1
CSE,PARP1
CSF2,PARP1
DNASE2,PARP1
DNTT,PARP1
DUSP6,PARP1
EGFR,PARP1
ELANE,PARP1
EP300,PARP1
ETS1,PARP1
EWSR1,PARP1
FGF2,PARP1
H1F0,PARP1
IGF1,PARP1
IL1B,PARP1
IL6,PARP1
ILK,PARP1
LIG4,PARP1
SH2D1A,PARP1
MDM2,PARP1
MAP3K5,PARP1
MMP2,PARP1
COX2,PARP1
MTNR1B,PARP1
,PARP1
PIK3CG,PARP1
PLAT,PARP1
POLB,PARP1
POU5F1,PARP1
PPP5C,PARP1
PRKAA2,PARP1
PRKDC,PARP1
MAPK1,PARP1
MAPK3,PARP1
MAPK8,PARP1
KLK6,PARP1
PTK2,PARP1
RNF4,PARP1
ROS1,PARP1
SET,PARP1
SHH,PARP1
SOX2,PARP1
SSRP1,PARP1
SUPT5H,PARP1
TERF2,PARP1
TGFB1,PARP1
TNF,PARP1
TOP1,PARP1
TP53,PARP1
SCGB1A1,PARP1
WRN,PARP1
XRCC1,PARP1
AXIN1,PARP1
PARG,PARP1
TNKS,PARP1
TNFSF10,PARP1
TNFRSF10B,PARP1
TNFRSF10A,PARP1
SUCLA2,PARP1
BANF1,PARP1
NR1I2,PARP1
MAP3K6,PARP1
EXO1,PARP1
PDLIM7,PARP1
GRAP2,PARP1
H2AFY,PARP1
CASP8AP2,PARP1
PARP2,PARP1
PARP3,PARP1
MPHOSPH6,PARP1
DDX17,PARP1
KAT5,PARP1
CTCF,PARP1
ZNF274,PARP1
USP19,PARP1
SUB1,PARP1
KIF4A,PARP1
SLC17A5,PARP1
DUOX2,PARP1
DYT10,PARP1
SIRT6,PARP1
CMPK1,PARP1
ZNF331,PARP1
ELAC1,PARP1
BAIAP2L1,PARP1
DIABLO,PARP1
NMNAT1,PARP1
ZSWIM4,PARP1
WNK2,PARP1
MAPKAP1,PARP1
FAM188A,PARP1
HM13,PARP1
RNF146,PARP1
SLC25A25,PARP1
GRDX,PARP1
MIR192,PARP1
PARP1,PARP4
ABCA1,ADRA1D
ACTA1,ADRA1D
ADCY3,ADRA1D
ADRBK1,ADRA1D
ADRBK2,ADRA1D
APOA1,ADRA1D
ATIC,ADRA1D
BID,ADRA1D
BMP2,ADRA1D
CALR,ADRA1D
CDKN2A,ADRA1D
COL8A2,ADRA1D
CREB1,ADRA1D
DAB2,ADRA1D
EEF1B2P2,ADRA1D
EGF,ADRA1D
FCN2,ADRA1D
FGF10,ADRA1D
HADHA,ADRA1D
HBB,ADRA1D
HDAC1,ADRA1D
HDAC2,ADRA1D
HRAS,ADRA1D
HSPA4,ADRA1D
HSPD1,ADRA1D
IFNA1,ADRA1D
IFNG,ADRA1D
IGBP1,ADRA1D
IGF1,ADRA1D
IL1B,ADRA1D
IL2,ADRA1D
IL4,ADRA1D
IL6,ADRA1D
IL18,ADRA1D
LIF,ADRA1D
LPL,ADRA1D
MBNL1,ADRA1D
NEUROD1,ADRA1D
NFKB1,ADRA1D
P4HB,ADRA1D
PTGFRN,ADRA1D
PTHLH,ADRA1D
RRAS,ADRA1D
TGFB1,ADRA1D
TMSB4X,ADRA1D
TNF,ADRA1D
VEGFA,ADRA1D
WARS,ADRA1D
BTG2,ADRA1D
P4HA2,ADRA1D
TUBB3,ADRA1D
GNB2L1,ADRA1D
TXNRD2,ADRA1D
CAMKK2,ADRA1D
LILRB1,ADRA1D
AKAP2,ADRA1D
GABARAP,ADRA1D
KLRK1,ADRA1D
KIF13B,ADRA1D
DYT10,ADRA1D
GOPC,ADRA1D
ULBP1,ADRA1D
WDR83,ADRA1D
COMMD1,ADRA1D
IL4I1,ADRA1D
ADCY3,ADRA1B
ADRA1A,ADRA1B
EGF,ADRA1B
GRK5,ADRA1B
IGF1,ADRA1B
