source,target
HTR7,Tal-1beta:E47
DTYMK,Tal-1beta:E47
CPSF7,Tal-1beta:ITF-2
KLHL1,Tal-1beta:ITF-2
LOC646736,Tal-1beta:ITF-2
PIK3C2B,Tal-1beta:ITF-2
RPS6KA5,Tal-1beta:ITF-2
PDLIM4,Tal-1beta:ITF-2
PDE2A,Tal-1beta:ITF-2
ZNF592,Tal-1beta:ITF-2
NHLH2,Tal-1beta:ITF-2
ECE2,Tal-1beta:ITF-2
SEMA5B,Tal-1beta:ITF-2
TNS1,Tal-1beta:ITF-2
ARPP21,Tal-1beta:ITF-2
CLVS1,Tal-1beta:ITF-2
MATN4,Tal-1beta:ITF-2
FKBP15,Tal-1beta:ITF-2
TRPM3,Tal-1beta:ITF-2
EYA2,Tal-1beta:ITF-2
PRMT8,Tal-1beta:ITF-2
MAPK9,Tal-1beta:ITF-2
YBX2,Tal-1beta:ITF-2
STK33,Tal-1beta:ITF-2
SLC43A1,Tal-1beta:ITF-2
OR10V2P,Tal-1beta:ITF-2
MFNG,Tal-1beta:ITF-2
CCDC120,Tal-1beta:ITF-2
MIR4755,Tal-1beta:ITF-2
MAP1A,Tal-1beta:ITF-2
LOC100505474,Tal-1beta:ITF-2
SMIM20,Tal-1beta:ITF-2
MAST1,Tal-1beta:ITF-2
TP53,Tal-1beta:ITF-2
TMIGD2,Tal-1beta:ITF-2
DYNC1I2,Tal-1beta:ITF-2
NHLH1,Tal-1beta:ITF-2
TCF12,Tal-1beta:ITF-2
FOXN3-AS1,Tal-1beta:ITF-2
UBXN10,Tal-1beta:ITF-2
ELAVL4,Tal-1beta:ITF-2
NPR2,Tal-1beta:ITF-2
ABHD14B,Tal-1beta:ITF-2
ANGEL1,Tal-1beta:ITF-2
DLL4,Tal-1beta:ITF-2
FAM160B1,Tal-1beta:ITF-2
IL5RA,Tal-1beta:ITF-2
ATOH7,Tal-1beta:ITF-2
ZC3H3,Tal-1beta:ITF-2
TBR1,Tal-1beta:ITF-2
RCAN3,Tal-1beta:ITF-2
ATPAF2,Tal-1beta:ITF-2
RALGAPA2,Tal-1beta:ITF-2
VWA5B1,Tal-1beta:ITF-2
LOC400927,Tal-1beta:ITF-2
MRPL24,Tal-1beta:ITF-2
OR52Z1,Tal-1beta:ITF-2
LINC00658,Tal-1beta:ITF-2
MAPK12,Tal-1beta:ITF-2
HIVEP3,Tal-1beta:ITF-2
LZTS1,Tal-1beta:ITF-2
KLHL35,Tal-1beta:ITF-2
STXBP6,Tal-1beta:ITF-2
LINC00678,Tal-1beta:ITF-2
KIRREL2,Tal-1beta:ITF-2
MEX3A,Tal-1beta:ITF-2
ICT1,Tal-1beta:ITF-2
ZBTB38,Tal-1beta:ITF-2
ZBTB20,Tal-1beta:ITF-2
ATP2C1,Tal-1beta:ITF-2
EPSTI1,Tal-1beta:ITF-2
NEK2,Tal-1beta:ITF-2
DUS4L,Tal-1beta:ITF-2
EIF3H,Tal-1beta:ITF-2
FBXL7,Tal-1beta:ITF-2
PHEX,Tal-1beta:ITF-2
BMP1,Tal-1beta:ITF-2
PLCL2,Tal-1beta:ITF-2
MEIS2,Tal-1beta:ITF-2
MAP3K7CL,Tal-1beta:ITF-2
TRAF3,Tal-1beta:ITF-2
PRDM1,Tal-1beta:ITF-2
C2orf91,Tal-1beta:ITF-2
KIAA1614,Tal-1beta:ITF-2
WWC1,Tal-1beta:ITF-2
INPP5J,Tal-1beta:ITF-2
ADCK4,Tal-1beta:ITF-2
BANK1,Tal-1beta:ITF-2
NR5A2,Tal-1beta:ITF-2
CDH23,Tal-1beta:ITF-2
MIR96,Tal-1beta:ITF-2
LINC00643,Tal-1beta:ITF-2
COL1A2,Tal-1beta:ITF-2
ZC3H12C,Tal-1beta:ITF-2
C1orf106,Tal-1beta:ITF-2
TNIK,Tal-1beta:ITF-2
CNTN1,Tal-1beta:ITF-2
TFEC,Tal-1beta:ITF-2
STAC2,Tal-1beta:ITF-2
CHD9,Tal-1beta:ITF-2
RPRD1B,Tal-1beta:ITF-2
STAG2,Tal-1beta:ITF-2
HRK,Tal-1beta:ITF-2
BRE,Tal-1beta:ITF-2
MBNL2,Tal-1beta:ITF-2
THTPA,Tal-1beta:ITF-2
HSPA9,Tal-1beta:ITF-2
SCN1B,Tal-1beta:ITF-2
FGF1,Tal-1beta:ITF-2
LINC00911,Tal-1beta:ITF-2
ASB4,Tal-1beta:ITF-2
LOC340107,Tal-1beta:ITF-2
MIR18B,Tal-1beta:ITF-2
DRD1,Tal-1beta:ITF-2
MGC34796,Tal-1beta:ITF-2
GAS1,Tal-1beta:ITF-2
SCUBE1,Tal-1alpha:E47
PDE2A,Tal-1alpha:E47
HMP19,Tal-1alpha:E47
ADCYAP1,Tal-1alpha:E47
UBE2M,Tal-1alpha:E47
SMAD3,Tal-1alpha:E47
TJAP1,Tal-1alpha:E47
FKBP15,Tal-1alpha:E47
TRPM3,Tal-1alpha:E47
DDOST,Tal-1alpha:E47
NPS,Tal-1alpha:E47
CADM2,Tal-1alpha:E47
BLCAP,Tal-1alpha:E47
SMIM20,Tal-1alpha:E47
MAST1,Tal-1alpha:E47
UBALD1,Tal-1alpha:E47
FAM212A,Tal-1alpha:E47
DYNC1I2,Tal-1alpha:E47
PKIA,Tal-1alpha:E47
UBXN10,Tal-1alpha:E47
ELAVL4,Tal-1alpha:E47
NPR2,Tal-1alpha:E47
ABHD14B,Tal-1alpha:E47
DLL4,Tal-1alpha:E47
FAM160B1,Tal-1alpha:E47
IL5RA,Tal-1alpha:E47
ATOH7,Tal-1alpha:E47
ZC3H3,Tal-1alpha:E47
PLCB1,Tal-1alpha:E47
TBR1,Tal-1alpha:E47
ATPAF2,Tal-1alpha:E47
RALGAPA2,Tal-1alpha:E47
VWA5B1,Tal-1alpha:E47
LOC400927,Tal-1alpha:E47
MRPL24,Tal-1alpha:E47
OR52Z1,Tal-1alpha:E47
HIVEP3,Tal-1alpha:E47
KLHL35,Tal-1alpha:E47
KIRREL2,Tal-1alpha:E47
MEX3A,Tal-1alpha:E47
ICT1,Tal-1alpha:E47
ZBTB38,Tal-1alpha:E47
EPSTI1,Tal-1alpha:E47
NEK2,Tal-1alpha:E47
DUS4L,Tal-1alpha:E47
BMP1,Tal-1alpha:E47
PLCL2,Tal-1alpha:E47
MAP3K7CL,Tal-1alpha:E47
TRAF3,Tal-1alpha:E47
C2orf91,Tal-1alpha:E47
CSNK2B,Tal-1alpha:E47
KIAA1522,Tal-1alpha:E47
HOXD-AS2,Tal-1alpha:E47
WWC1,Tal-1alpha:E47
ADCK4,Tal-1alpha:E47
FAM78B,Tal-1alpha:E47
